geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
371190058312,1984,1483,255,0,120,0,56,70,0,70,54564,1118,0,11,134,480,378,68,32,0,15,0
371190058292,1253,806,283,0,20,0,117,27,8,19,42202,642,0,7,36,149,299,125,26,0,0,0
371190058291,824,286,477,0,26,0,0,35,0,35,53783,627,0,9,45,303,245,8,9,0,0,8
371190058391,2681,2135,127,0,276,0,17,126,0,126,102500,1228,37,37,476,470,208,0,0,0,0,0
371190058301,1358,1109,233,13,0,0,0,3,0,3,58542,717,0,0,0,8,337,330,27,7,0,8
371190058302,2565,1915,91,19,34,0,434,72,0,72,81167,970,0,6,14,24,441,448,29,8,0,0
371190030181,2922,2236,470,1,127,0,77,11,0,11,98750,1262,27,10,333,384,203,200,39,66,0,0
371759604022,461,461,0,0,0,0,0,0,0,0,36333,575,0,0,186,77,109,81,51,23,0,48
371759604023,2093,1991,7,7,15,17,0,56,0,56,46960,1188,0,26,303,144,247,166,63,40,133,66
371759604011,2176,2001,90,0,0,0,0,85,0,85,57989,1026,8,18,367,161,141,142,101,20,0,68
371759604012,2246,2158,80,0,0,0,0,8,8,0,72625,1290,12,21,315,162,307,384,30,21,19,19
370010201003,1160,160,809,13,0,0,142,36,22,14,13969,482,0,0,0,33,0,123,42,183,8,93
370010201002,1031,980,29,0,0,0,8,14,0,14,61418,603,9,9,0,35,24,27,9,141,147,202
370270305003,1208,1019,107,0,82,0,0,0,0,0,53482,557,30,11,31,45,69,51,109,139,13,59
370270305002,1293,981,24,27,0,0,36,225,0,225,45156,574,0,0,83,42,89,146,34,106,74,0
370270308002,373,373,0,0,0,0,0,0,0,0,48750,189,0,0,4,21,36,59,18,32,19,0
370270308001,1359,1309,49,0,0,0,1,0,0,0,59000,605,0,35,136,100,156,84,90,4,0,0
370270308004,3028,2815,30,73,0,0,59,51,20,31,44522,1208,0,32,237,332,394,98,13,77,25,0
370270306003,1540,1490,18,0,0,0,0,32,0,32,56964,633,0,17,155,67,67,178,100,26,14,9
370270306002,1786,1583,0,0,24,0,148,31,0,31,44886,747,13,54,250,96,131,54,82,58,9,0
370270309003,1477,1477,0,0,0,0,0,0,0,0,29328,578,0,0,37,137,189,30,74,38,54,19
370270309004,1305,1173,58,0,0,0,74,0,0,0,45100,636,0,0,18,113,40,200,79,152,17,17
370270311002,1223,1163,33,0,0,0,0,27,0,27,75106,560,0,0,28,153,87,142,67,27,47,9
370270311001,842,618,191,0,0,0,0,33,0,33,29556,416,0,0,42,90,99,84,45,9,9,38
370270310001,1390,1370,20,0,0,0,0,0,0,0,46042,972,0,0,55,173,137,182,147,170,43,65
370270310003,776,721,0,0,0,26,0,29,0,29,69850,422,18,20,27,62,83,99,34,23,19,37
370270302004,1502,1423,56,0,0,0,0,23,0,23,44097,621,0,0,24,59,74,230,94,27,68,45
370270302001,884,813,39,0,0,0,32,0,0,0,44214,500,0,13,19,65,73,82,52,70,45,81
370350103042,1116,573,178,0,21,0,234,110,44,66,30667,421,11,0,45,26,60,136,21,24,73,25
370350103041,793,624,39,0,59,0,43,28,24,4,52344,380,0,0,0,11,167,65,94,0,0,43
371830528021,1487,957,423,0,0,0,81,26,6,20,54107,662,0,0,19,192,82,98,230,41,0,0
371830528024,1480,1081,339,27,1,0,0,32,0,32,58211,617,0,0,111,156,79,51,139,49,0,32
371290111002,1896,136,1439,0,5,180,121,15,0,15,14813,1029,0,20,178,54,13,31,105,130,282,216
371639704002,869,563,254,0,0,0,52,0,0,0,26000,511,0,51,47,62,98,92,90,60,7,4
371639704001,1074,826,230,4,0,0,14,0,0,0,41269,627,0,0,49,148,82,136,106,62,0,44
371639707004,928,201,630,15,0,0,53,29,5,24,15625,462,0,15,33,29,43,63,54,99,69,57
371639707005,2232,1341,398,0,0,0,493,0,0,0,42702,855,10,143,172,96,200,56,125,44,0,9
371639707002,1251,1121,59,21,25,0,9,16,2,14,57857,498,23,2,19,53,54,124,122,87,14,0
371639707001,1960,878,795,136,0,0,133,18,0,18,47635,886,0,0,225,240,232,70,63,56,0,0
371639707003,945,714,111,22,10,0,76,12,2,10,43958,368,12,0,6,0,25,10,78,130,60,47
371639701004,1704,785,510,0,0,0,409,0,0,0,23611,626,0,0,24,201,0,180,82,46,39,54
371639701003,950,548,162,0,0,0,215,25,25,0,35750,399,0,57,91,37,136,27,0,0,29,22
371639701006,1182,561,332,0,0,0,289,0,0,0,42143,437,0,4,13,160,62,80,9,10,36,63
370590803001,1742,1666,58,1,17,0,0,0,0,0,79366,1062,0,15,42,167,421,376,12,29,0,0
370590803003,2719,2590,90,0,0,0,0,39,0,39,43250,1028,31,0,214,139,342,107,73,18,84,20
370590805002,1801,1445,147,0,0,0,78,131,0,131,58869,708,9,0,254,80,103,197,17,34,0,14
370590805003,1681,1459,147,2,0,0,59,14,0,14,66111,542,0,8,179,92,46,179,18,0,15,5
370590802002,1150,1100,0,0,23,0,0,27,0,27,56181,461,0,0,25,65,70,224,40,18,19,0
370590802003,1048,1037,0,0,0,0,0,11,0,11,63924,469,0,0,77,113,53,180,15,31,0,0
370590802004,747,719,28,0,0,0,0,0,0,0,33257,494,0,0,108,215,36,9,41,62,0,23
370590801004,1435,1371,10,0,0,0,0,54,0,54,66314,707,0,0,109,209,18,39,79,134,17,102
370590801001,3022,2673,183,36,0,0,40,90,0,90,59712,1212,0,78,122,387,140,171,31,169,85,29
